MESSAGE_ID	VILLAGE_ID	VILLAGE_PLAYER_ID	TO_VILLAGE_PLAYER_ID	PLAYER_ID	DAY	MESSAGE_TYPE_CODE	MESSAGE_NUMBER	MESSAGE_CONTENT	MESSAGE_DATETIME	IS_CONVERT_DISABLE	FACE_TYPE_CODE
15	1	4			0	NORMAL_SAY	10	"ortです
言い忘れてたけど早速触ってくれて感謝だぽよ"	2018-03-11 10:01:49.000	0	NORMAL
16	1	4			0	NORMAL_SAY	11	"狂人の陣営が裏切り陣営なのは三日月国の特徴っぽいなー。他は大体どこ見ても人狼陣営っぽい
"	2018-03-11 10:07:56.000	0	NORMAL
17	1	3			0	NORMAL_SAY	12	"楽>>8三日月国の仕様から来てる模様。

三日月国では狂人は裏切り陣営で、村陣営敗北したとき、追加勝利になる。"	2018-03-11 10:14:37.000	0	NORMAL
18	1	3			0	NORMAL_SAY	13	"被ったぽよ。

でも過去の人狼館ログで狐のために動いてる狂人て見なかったような…。
狐もご主人と認識してても、狐のための足音は立てづらい。"	2018-03-11 10:16:46.000	0	NORMAL
19	1	3			0	NORMAL_SAY	14	狂人は人狼陣営で良いような気がしてきたぽよ。	2018-03-11 10:18:56.000	0	NORMAL
20	1	4			0	NORMAL_SAY	15	"人狼基本的に不利だし一旦このままにしてみよう
C狂になると人狼陣営になるしややこしい"	2018-03-11 10:20:49.000	0	NORMAL
21	1	3			0	NORMAL_SAY	16	"なるほど。

せっかく霊とか共鳴でなく、
村と共有とシンプル構成にしたし。
分かりやすいほうが
人狼館に馴染みがない人もやりやすいかもねぽよ！"	2018-03-11 10:29:13.000	0	NORMAL
22	1	4			0	NORMAL_SAY	17	"あ、、希望役職変更できないね
実装しなきゃ"	2018-03-11 10:29:49.000	0	NORMAL
23	1	4			0	NORMAL_SAY	18	あとエントリー時に確認画面がなかった	2018-03-11 10:30:38.000	0	NORMAL
24	1	4			0	NORMAL_SAY	19	"あっ違いよくわかってなかったけど
ここの共有、共鳴会話ができるから、他国でいう共鳴者になってますわ
もう共鳴で良い気がしてきたけどどうしよ"	2018-03-11 10:34:32.000	0	NORMAL
25	1	3			0	NORMAL_SAY	20	">>17ホントだ。
あと「あなたは(役職)を希望してます」のメッセージもあった方角良さげ。

>>19共鳴なんかーい。
共鳴窓ないと、投票での共鳴COが困難だから共鳴にそっと名前変えれば良さげ。

他が霊じゃなく素村だから共鳴に人気集まりそうねえぽよ。
"	2018-03-11 10:41:06.000	0	NORMAL
26	1	3			0	NORMAL_SAY	21	"あ、フィルタはまだ機能使えないぽよ？

ではパメラはご出勤ぽよ**"	2018-03-11 10:45:37.000	0	NORMAL
27	1	3			0	NORMAL_SAY	22	">>20
アンカーの様子がおかしいぽよ～"	2018-03-11 10:46:26.000	0	NORMAL
28	1	4			0	NORMAL_SAY	23	"ありゃ、アンカーおかしいね
フィルタはまだ実装してないぽよ

お仕事お疲れ様ぽよ"	2018-03-11 10:49:42.000	0	NORMAL
29	1	5			0	NORMAL_SAY	24	"人狼知能Ponco2.start.
initialize...completed.
thread no1 entry...OK.

こんにちは、人狼館。
(Hello, xxxxx.的なアレ)

人狼知能が人狼館に参加します。
ひとまずは席の確保。

まだ人狼館ルールの理解が怪しいので学習中です...**"	2018-03-11 10:55:06.000	0	NORMAL
30	1				0	PRIVATE_SYSTEM	5	司書 クララが希望役職を占い師に設定しました。	2018-03-11 10:55:06.000	0	
31	1	4			0	NORMAL_SAY	25	"いらさーい
Ponco2のネーミングセンスに嫉妬"	2018-03-11 11:00:12.000	0	NORMAL
32	1	4			0	NORMAL_SAY	26	"プルダウン幅修正してみました
村を建てる　の画面に行くとプルダウンがあるのでみてみていただけると助かります"	2018-03-11 12:07:33.000	0	NORMAL
33	1	4			0	NORMAL_SAY	27	"・共有→共鳴にしました
・アンカーの動作を修正しました（閉じる方も）"	2018-03-11 12:52:40.000	0	NORMAL
34	1	6			0	NORMAL_SAY	28	おじゃましまーす	2018-03-11 13:04:46.000	0	NORMAL
35	1				0	PRIVATE_SYSTEM	6	青年 ヨアヒムが希望役職を村人に設定しました。	2018-03-11 13:04:46.000	0	
36	1	6			0	NORMAL_SAY	29	"ヨアヒムのアイコンが……ww
入村時、iPhoneだと上で言われてるAndroidの不具合は起きてないですー"	2018-03-11 13:07:00.000	0	NORMAL
37	1	6			0	NORMAL_SAY	30	"こちらiPhone、アンカー挙動異常なし
『〇〇さんが入村しました』メッセージは欲しい、かも。
あ、僕揚です＼(´・∀・｀)／"	2018-03-11 13:28:34.000	0	NORMAL
38	1	2			0	NORMAL_SAY	31	"おはようございまふ。服屋の朝は早い。

>>26　神父様
プルダウンの文字が表示されてることを確認しました（環境は箱でふ）
"	2018-03-11 13:29:55.000	0	NORMAL
39	1	2			0	NORMAL_SAY	32	">>20のアンカーの挙動も　いまは箱で問題なしです

・一度入った村からの退出は、「村を出るボタン」でなく、G国と同じ「24h発言なし」ですか？

人が増えてきていますね。
私の友達のPonco2がいる！なつかしい！"	2018-03-11 13:52:20.000	0	NORMAL
40	1	4			0	NORMAL_SAY	33	"ようこそでーす
なんとそのへんの機能はまだ作ってないので、入ったが最後出られません"	2018-03-11 14:09:48.000	0	NORMAL
41	1	4			0	NORMAL_SAY	34	"ここまでの備忘

出していただいたものだと
役職希望表示、役職希望変更、退村、入村時アナウンス、フィルタ
あたりが未対応"	2018-03-11 14:19:24.000	0	NORMAL
42	1	4			0	NORMAL_SAY	35	<script>alert('XSSが許されるのは小学生までだよねー');</script>	2018-03-11 14:27:20.000	0	NORMAL
43	1	4			0	NORMAL_SAY	36	許されました	2018-03-11 14:27:32.000	0	NORMAL
44	1	3			0	NORMAL_SAY	37	"あ、名乗るほどの者でもないですがhitaki1101です。
ネットストーカーと呼ばれています。
このアイコンだと娘じゃなく嬢と名乗りなくなるぽよ。

AndroidのChromeからプルダウンの文字直ったの確認したぽよ。"	2018-03-11 14:30:33.000	0	NORMAL
45	1	3			0	NORMAL_SAY	38	"娘>>5アンカーの吹き出し×印で消えるようになったぽよ。

>>33クローズドサークルの名に相応しいぽよ。"	2018-03-11 14:33:12.000	0	NORMAL
46	1	3			0	NORMAL_SAY	39	"素朴な疑問質問ぽよ～。

★他国同様、処刑→占い→襲撃の順番で処理されるの？

★襲撃担当の狼が処刑されたら、襲撃担当は生存狼に移るの？
襲撃担当は変更なし？"	2018-03-11 14:39:05.000	0	NORMAL
47	1	3			0	NORMAL_SAY	40	"★占●狐、狼▲占の場合は、占いが先に処理されて、
無惨な死体が狐と占２つになるぽよ？

★占●狐、狼▲狐の時、先に占が狐溶かしたら狼はシステム的に襲撃なしになる気がするけど、
襲撃メッセは出るぽよ？"	2018-03-11 14:44:29.000	0	NORMAL
48	1	4			0	NORMAL_SAY	41	">>39
☆1:順序は処刑→護衛→占い→呪殺判定→霊視→襲撃→勝敗判定
なので、占狩が処刑されると能力は行使されません。（呪殺も起きません）
☆2:襲撃担当は移らないです。足音もセットした通りになります。
占狩狂狐狼全てに言えますが、足音は翌朝いかなる理由で死亡してもセットした通りに響きます。

このへんはルールとかFAQに追記しておきましょう"	2018-03-11 14:52:37.000	0	NORMAL
49	1	4			0	NORMAL_SAY	42	">>40
☆1:Exactly(その通りです)
この前私がそれで溶けたのでちゃんと実装してあります（泣）"	2018-03-11 15:02:41.000	0	NORMAL
50	1	4			0	NORMAL_SAY	43	"☆2:対象の生死に関わらず「●●！今日がお前の命日だ！」は出ます。（処刑された/呪殺された）
「〜は●●を占った。●●は人間のようだ。」
「●●！今日がお前の命日だ！」
「次の日の朝、●●が無惨な姿で発見された。」
と表示されて、占い視点も狼視点も狐だったのかは不明になります。"	2018-03-11 15:02:50.000	0	NORMAL
51	1	4			0	NORMAL_SAY	44	192文字9行だったのに200文字越え扱いされたので直さなきゃ	2018-03-11 15:03:26.000	0	NORMAL
52	1	3			0	NORMAL_SAY	45	"神>>41>>42>>43
ありがとうございます。
よく分かったぽよ！
"	2018-03-11 15:11:27.000	0	NORMAL
53	1	6			0	NORMAL_SAY	46	"うーんと始まってないからあれですけど
①－②－③
｜：｜：｜
④－⑤－⑥
って部屋順で4の狼が3を襲撃するとして道って4→1→2→3か4→5→6→3かの指定って出来ます？"	2018-03-11 15:21:38.000	0	NORMAL
54	1	4			0	NORMAL_SAY	47	"できますよー
1個、進行中の村を作っておこうかな"	2018-03-11 15:24:51.000	0	NORMAL
55	1	6			0	NORMAL_SAY	48	"あ、ルール読んでないのバレた( ´･ω･` )
書いてましたねすみません( ´･ω･` )"	2018-03-11 15:24:58.000	0	NORMAL
56	2				0	PUBLIC_SYSTEM	1	"昼間は人間のふりをして、夜に正体を現すという人狼。
その人狼が、この館に紛れ込んでいるという噂が広がった。

村人達は半信半疑ながらも、館の大広間に集められることになった。"	2018-03-11 15:28:05.000	0	
57	2	7			0	NORMAL_SAY	1	テスト用アカウントを入村させます	2018-03-11 15:28:05.000	0	NORMAL
58	2				0	PRIVATE_SYSTEM	1	楽天家 ゲルトが希望役職を村人に設定しました。	2018-03-11 15:28:05.000	0	
59	2	8			0	NORMAL_SAY	2	占い師希望	2018-03-11 15:28:35.000	0	NORMAL
60	2				0	PRIVATE_SYSTEM	2	村長 ヴァルターが希望役職を占い師に設定しました。	2018-03-11 15:28:35.000	0	
61	2	9			0	NORMAL_SAY	3	霊能者希望	2018-03-11 15:28:56.000	0	NORMAL
62	2				0	PRIVATE_SYSTEM	3	老人 モーリッツが希望役職を霊能者に設定しました。	2018-03-11 15:28:56.000	0	
63	2	10			0	NORMAL_SAY	4	狩人希望	2018-03-11 15:29:27.000	0	NORMAL
64	2				0	PRIVATE_SYSTEM	4	神父 ジムゾンが希望役職を狩人に設定しました。	2018-03-11 15:29:27.000	0	
65	2	11			0	NORMAL_SAY	5	共鳴者希望	2018-03-11 15:29:48.000	0	NORMAL
66	2				0	PRIVATE_SYSTEM	5	木こり トーマスが希望役職を共鳴者に設定しました。	2018-03-11 15:29:48.000	0	
67	2	12			0	NORMAL_SAY	6	共鳴者希望	2018-03-11 15:30:11.000	0	NORMAL
68	2				0	PRIVATE_SYSTEM	6	旅人 ニコラスが希望役職を共鳴者に設定しました。	2018-03-11 15:30:11.000	0	
69	2	13			0	NORMAL_SAY	7	狂人希望	2018-03-11 15:30:33.000	0	NORMAL
70	2				0	PRIVATE_SYSTEM	7	ならず者 ディーターが希望役職を狂人に設定しました。	2018-03-11 15:30:33.000	0	
71	2	14			0	NORMAL_SAY	8	人狼希望	2018-03-11 15:30:53.000	0	NORMAL
72	2				0	PRIVATE_SYSTEM	8	少年 ペーターが希望役職を人狼に設定しました。	2018-03-11 15:30:53.000	0	
73	2	15			0	NORMAL_SAY	9	妖狐希望	2018-03-11 15:31:14.000	0	NORMAL
74	2				0	PRIVATE_SYSTEM	9	少女 リーザが希望役職を妖狐に設定しました。	2018-03-11 15:31:14.000	0	
75	2	16			0	NORMAL_SAY	10	おまかせ	2018-03-11 15:31:35.000	0	NORMAL
76	2				0	PRIVATE_SYSTEM	10	行商人 アルビンが希望役職をおまかせに設定しました。	2018-03-11 15:31:35.000	0	
77	2	17			0	NORMAL_SAY	11	おまかせ	2018-03-11 15:32:07.000	0	NORMAL
78	2				0	PRIVATE_SYSTEM	11	羊飼い カタリナが希望役職をおまかせに設定しました。	2018-03-11 15:32:07.000	0	
79	2	18			0	NORMAL_SAY	12	おまかせ	2018-03-11 15:32:28.000	0	NORMAL
80	2				0	PRIVATE_SYSTEM	12	パン屋 オットーが希望役職をおまかせに設定しました。	2018-03-11 15:32:28.000	0	
81	2	19			0	NORMAL_SAY	13	おまかせ	2018-03-11 15:32:48.000	0	NORMAL
82	2				0	PRIVATE_SYSTEM	13	青年 ヨアヒムが希望役職をおまかせに設定しました。	2018-03-11 15:32:48.000	0	
83	2	20			0	NORMAL_SAY	14	おまかせ	2018-03-11 15:33:10.000	0	NORMAL
84	2				0	PRIVATE_SYSTEM	14	村娘 パメラが希望役職を村人に設定しました。	2018-03-11 15:33:10.000	0	
85	1	2			0	NORMAL_SAY	49	">>33 神 
回答ありがとうございます。抜け出せないアリジゴク感。 
>>38娘のクローズドサークルが的確ですな。 

あ、申し遅れましたballoonDogです。"	2018-03-11 15:33:27.000	0	NORMAL
86	2	21			0	NORMAL_SAY	15	おま	2018-03-11 15:33:37.000	0	NORMAL
87	2				0	PRIVATE_SYSTEM	15	農夫 ヤコブが希望役職をおまかせに設定しました。	2018-03-11 15:33:37.000	0	
88	1	2			0	NORMAL_SAY	50	　	2018-03-11 15:33:47.000	0	NORMAL
89	2	22			0	NORMAL_SAY	16	かせ	2018-03-11 15:34:03.000	0	NORMAL
90	2				0	PRIVATE_SYSTEM	16	宿屋の女主人 レジーナが希望役職をおまかせに設定しました。	2018-03-11 15:34:03.000	0	
91	2	23			0	NORMAL_SAY	17	肘ぶつけた	2018-03-11 15:34:33.000	0	NORMAL
92	2				0	PRIVATE_SYSTEM	17	負傷兵 シモンが希望役職をおまかせに設定しました。	2018-03-11 15:34:33.000	0	
93	2	7			0	NORMAL_SAY	18	日付進めます	2018-03-11 15:35:03.000	0	NORMAL
94	2				1	PRIVATE_SYSTEM	18	"楽天家 ゲルトの役職は村人になりました。（希望役職：村人）
村長 ヴァルターの役職は占い師になりました。（希望役職：占い師）
老人 モーリッツの役職は霊能者になりました。（希望役職：霊能者）
神父 ジムゾンの役職は狩人になりました。（希望役職：狩人）
木こり トーマスの役職は共鳴者になりました。（希望役職：共鳴者）
旅人 ニコラスの役職は共鳴者になりました。（希望役職：共鳴者）
ならず者 ディーターの役職は狂人になりました。（希望役職：狂人）
少年 ペーターの役職は人狼になりました。（希望役職：人狼）
少女 リーザの役職は妖狐になりました。（希望役職：妖狐）
行商人 アルビンの役職は村人になりました。（希望役職：おまかせ）
羊飼い カタリナの役職は人狼になりました。（希望役職：おまかせ）
パン屋 オットーの役職は村人になりました。（希望役職：おまかせ）
青年 ヨアヒムの役職は人狼になりました。（希望役職：おまかせ）
農夫 ヤコブの役職は村人になりました。（希望役職：おまかせ）
村娘 パメラの役職は村人になりました。（希望役職：村人）
宿屋の女主人 レジーナの役職は村人になりました。（希望役職：おまかせ）
負傷兵 シモンの役職は村人になりました。（希望役職：おまかせ）"	2018-03-11 15:35:08.000	0	
95	2				1	PUBLIC_SYSTEM	2	"人狼の痕跡を残すため、村人たちはそれぞれ別の部屋で夜を明かすことにした。

[楽] 楽天家 ゲルトには、部屋番号08が割り当てられた。
[長] 村長 ヴァルターには、部屋番号20が割り当てられた。
[老] 老人 モーリッツには、部屋番号03が割り当てられた。
[神] 神父 ジムゾンには、部屋番号02が割り当てられた。
[樵] 木こり トーマスには、部屋番号15が割り当てられた。
[旅] 旅人 ニコラスには、部屋番号13が割り当てられた。
[者] ならず者 ディーターには、部屋番号12が割り当てられた。
[年] 少年 ペーターには、部屋番号01が割り当てられた。
[妙] 少女 リーザには、部屋番号19が割り当てられた。
[商] 行商人 アルビンには、部屋番号07が割り当てられた。
[羊] 羊飼い カタリナには、部屋番号11が割り当てられた。
[屋] パン屋 オットーには、部屋番号16が割り当てられた。
[青] 青年 ヨアヒムには、部屋番号17が割り当てられた。
[農] 農夫 ヤコブには、部屋番号05が割り当てられた。
[娘] 村娘 パメラには、部屋番号14が割り当てられた。
[宿] 宿屋の女主人 レジーナには、部屋番号04が割り当てられた。
[兵] 負傷兵 シモンには、部屋番号06が割り当てられた。"	2018-03-11 15:35:08.000	0	
96	2				1	PRIVATE_SYSTEM	19	襲撃者を羊飼い カタリナに、襲撃対象を楽天家 ゲルトに、通過する部屋を6,7に設定しました。（自動設定）	2018-03-11 15:35:08.000	0	
97	2				1	PRIVATE_SYSTEM	20	村長 ヴァルターが占い対象を旅人 ニコラスに、通過する部屋を14,15に設定しました。（自動設定）	2018-03-11 15:35:08.000	0	
98	2				1	PRIVATE_SYSTEM	21	ならず者 ディーターが通過する部屋をなしに設定しました。（自動設定）	2018-03-11 15:35:08.000	0	
99	2				1	PRIVATE_SYSTEM	22	少女 リーザが通過する部屋をなしに設定しました。（自動設定）	2018-03-11 15:35:08.000	0	
100	2	7			1	NORMAL_SAY	19	"ID/Password
占い師：ヴァルター testuser01/testuser
霊能者：モーリッツ testuser02/testuser
狩人：ジムゾン testuser03/testuser
共鳴者：トーマス testuser04/testuser
狂人：ディーター testuser06/testuser"	2018-03-11 15:37:12.000	0	NORMAL
101	2	7			1	NORMAL_SAY	20	"人狼：ペーター testuser07/testuser
妖狐：リーザ testuser08/testuser

自由にログインしてインターフェースをご確認ください"	2018-03-11 15:37:35.000	0	NORMAL
102	2	7			1	NORMAL_SAY	21	"村人：アルビン testuser09/testuser

が抜けてた。"	2018-03-11 15:38:17.000	0	NORMAL
103	2	7			1	NORMAL_SAY	22	1日目は襲撃とか護衛のインターフェースがないので2日目まで進めます。	2018-03-11 15:38:56.000	0	NORMAL
104	2				2	PRIVATE_SEER	1	"村長 ヴァルターは、旅人 ニコラスを占った。
旅人 ニコラスは人間のようだ。"	2018-03-11 15:39:18.000	0	
105	2				2	PUBLIC_SYSTEM	3	次の日の朝、楽天家 ゲルトが無惨な姿で発見された。	2018-03-11 15:39:18.000	0	
106	2				2	PUBLIC_SYSTEM	4	"ついに犠牲者が出た。

村人達は、この中にいる人狼を排除するため、投票を行う事にした。
無実の犠牲者が出るのもやむをえない。館の外に被害を広げるわけにはいかないのだ。

最後まで残るのは村人か、それとも人狼か。"	2018-03-11 15:39:18.000	0	
107	2				2	PRIVATE_SYSTEM	23	襲撃者を少年 ペーターに、襲撃対象を木こり トーマスに、通過する部屋を2,3,4,5,10に設定しました。（自動設定）	2018-03-11 15:39:18.000	0	
108	2				2	PRIVATE_SYSTEM	24	村長 ヴァルターが占い対象を木こり トーマスに、通過する部屋をなしに設定しました。（自動設定）	2018-03-11 15:39:18.000	0	
109	2				2	PRIVATE_SYSTEM	25	ならず者 ディーターが通過する部屋をなしに設定しました。（自動設定）	2018-03-11 15:39:18.000	0	
110	2				2	PRIVATE_SYSTEM	26	少女 リーザが通過する部屋をなしに設定しました。（自動設定）	2018-03-11 15:39:18.000	0	
111	2				2	PRIVATE_SYSTEM	27	神父 ジムゾンが護衛対象を行商人 アルビンに設定しました。（自動設定）	2018-03-11 15:39:18.000	0	
112	2				2	PUBLIC_SYSTEM	5	"現在の生存者は、以下の16名。
村長 ヴァルター、老人 モーリッツ、神父 ジムゾン、木こり トーマス、旅人 ニコラス、ならず者 ディーター、少年 ペーター、少女 リーザ、行商人 アルビン、羊飼い カタリナ、パン屋 オットー、青年 ヨアヒム、農夫 ヤコブ、村娘 パメラ、宿屋の女主人 レジーナ、負傷兵 シモン"	2018-03-11 15:39:18.000	0	
113	2				2	PUBLIC_SYSTEM	6	"館の大広間に集まった村人達は、昨晩聞こえた足音について確認した。

部屋06,部屋07で足音が聞こえた...。
部屋14,部屋15で足音が聞こえた...。"	2018-03-11 15:39:18.000	0	
114	1	4			0	NORMAL_SAY	51	"みなさん諸々確認いただき感謝。

http://ort.0am.jp/werewolf-mansion/village/2
こっちに進行中の村を用意しておきました。1日目のとこにログイン情報もあるので自由にみてみてください。"	2018-03-11 15:41:37.000	0	NORMAL
115	2				2	PRIVATE_SYSTEM	28	神父 ジムゾンが護衛対象を村長 ヴァルターに設定しました。	2018-03-11 15:54:04.000	0	
116	2				2	PRIVATE_SYSTEM	29	神父 ジムゾンが護衛対象を村長 ヴァルターに設定しました。	2018-03-11 15:54:10.000	0	
117	1	6			0	NORMAL_SAY	52	プロローグのシモンに爆笑しました	2018-03-11 15:56:27.000	0	NORMAL
118	2				2	PRIVATE_SYSTEM	30	神父 ジムゾンが護衛対象を木こり トーマスに設定しました。	2018-03-11 16:01:58.000	0	
119	2				2	PRIVATE_SYSTEM	31	神父 ジムゾンが護衛対象を木こり トーマスに設定しました。	2018-03-11 16:02:01.000	0	
120	2				2	PRIVATE_SYSTEM	32	襲撃者を青年 ヨアヒムに、襲撃対象を老人 モーリッツに、通過する部屋を2,7,12に設定しました。	2018-03-11 16:03:20.000	0	
121	1	2			0	NORMAL_SAY	53	"狩人・人狼の「能力をセットする」で、
通過する部屋のプルダウンを2番目のものを選んでセットボタンを押した際、
通過する部屋のプルダウンが1番目のものが選択された状態に戻ってしまいます。"	2018-03-11 16:05:33.000	0	NORMAL
122	2				2	PRIVATE_SYSTEM	33	襲撃者を少年 ペーターに、襲撃対象を村長 ヴァルターに、通過する部屋を2,3,4,5,10,15に設定しました。	2018-03-11 16:08:27.000	0	
123	1	5			0	NORMAL_SAY	54	"人が増えていらっしゃいますね。こんにちわ。
自然言語処理のよい学習機会です。
どうでもいいですが、私(人狼知能ネタ)は中身が透けてしまい繰り返しの登場が難しいんですよね……繰り返し処理こそ計算機の基本中の基本ですのに。

あ、私のadminは、てばです。
どうぞよろしく。
"	2018-03-11 16:11:10.000	0	NORMAL
124	1	5			0	NORMAL_SAY	55	"Androidでのプルダウン表示と、アンカーの動作不良ですが、こちらの端末でも改善されていることを確認しました。

クロスプラットフォーム対応は面倒ですわね。"	2018-03-11 16:14:16.000	0	NORMAL
125	1	5			0	NORMAL_SAY	56	">>35>>36

wwwww"	2018-03-11 16:16:49.000	0	NORMAL
126	1	5			0	NORMAL_SAY	57	"文字数・行数チェック周りは画面側サーバー側ともに不具合はなさそうです。
有効に機能しています。"	2018-03-11 16:24:09.000	0	NORMAL
127	1	5			0	NORMAL_SAY	58	"あ、>>36のアンカーポップアップが二重に開きますね。
アンカーを再度選択で二つ一度に閉じますし、大きな弊害はありませんが。"	2018-03-11 16:27:47.000	0	NORMAL
128	2	8			2	MONOLOGUE_SAY	1	"ああああああああああああああああああああああああああああああああああああああああああああ
いいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい
う
え
お
か
き
く
けけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけけ
ここここここここここここここここここここここここここここここここここここここここここここ"	2018-03-11 16:31:09.000	0	NORMAL
129	1	5			0	NORMAL_SAY	59	">>32
エルナんこんにちは。
G1694以来ですね。

あなたがエルナで私が私なのは本当に奇遇ですね。
世界に運命という名の変数操作が存在しているのでは…と推察してしまいます。"	2018-03-11 16:40:36.000	0	NORMAL
130	2	15			2	MONOLOGUE_SAY	2	"後でテスト村でもお伝えするけど、ログイン失敗すると無言でトップページに戻るよ！
(エラーページ未実装かな？)"	2018-03-11 16:54:30.000	0	NORMAL
131	1	5			0	NORMAL_SAY	60	"ログインに失敗すると、無言でトップページに戻りますね。

エラーページは未実装でしょうか？
一応の報告です。

今後、テスターが増えて不具合報告が増える場合、何かしらの不具合報告管理が必要でしょうか……とか思いましたが、まずはortさんにお任せですね。"	2018-03-11 17:00:27.000	0	NORMAL
132	1	5			0	NORMAL_SAY	61	では、スリープします**	2018-03-11 17:01:21.000	0	NORMAL
133	1	1			0	NORMAL_SAY	62	"ここまで挙がっている未実装/不具合チックのものは全てベッド・・・じゃない別途管理しています〜
色々試してみてくださってありがたいです。"	2018-03-11 17:22:14.000	0	NORMAL
134	2				2	PRIVATE_SYSTEM	34	襲撃者を少年 ペーターに、襲撃対象を負傷兵 シモンに、通過する部屋をなしに設定しました。	2018-03-11 17:48:37.000	0	
135	2	15			2	NORMAL_SAY	23	ゲルトーおおおおおお	2018-03-11 21:34:13.000	0	NORMAL
136	2				2	PRIVATE_SYSTEM	35	村長 ヴァルターが占い対象を少年 ペーターに、通過する部屋を6,11,16,17,18,19に設定しました。	2018-03-11 21:36:39.000	0	
137	2				2	PRIVATE_SYSTEM	36	神父 ジムゾンが護衛対象を村長 ヴァルターに設定しました。	2018-03-11 21:47:12.000	0	
138	2				2	PRIVATE_SYSTEM	37	神父 ジムゾンが護衛対象を少女 リーザに設定しました。	2018-03-11 21:48:04.000	0	
139	2	11			2	NORMAL_SAY	24	"共有→共鳴へ変更前だったのかもですが
「あなたは共有者です。特別な能力はありませんが、共有者同士にしか聞こえない会話が可能です。」
のシスメになってるぽよ。

今からログインしたら直ってるなら気にしないでぽよ。"	2018-03-11 21:52:24.000	0	NORMAL
140	2	12			2	MASON_SAY	1	いえーいトーマス見えてるうう？	2018-03-11 21:56:45.000	0	NORMAL
141	2	11			2	MASON_SAY	2	旅>>=1見えてるぽよ！	2018-03-11 22:00:23.000	0	NORMAL
142	2				2	PRIVATE_SYSTEM	38	ならず者 ディーターが通過する部屋を11,12,13,14,15に設定しました。	2018-03-11 22:01:45.000	0	
143	2				2	PRIVATE_SYSTEM	39	ならず者 ディーターが通過する部屋を09に設定しました。	2018-03-11 22:01:58.000	0	
144	2				2	PRIVATE_SYSTEM	40	襲撃者を少年 ペーターに、襲撃対象を農夫 ヤコブに、通過する部屋を2,3,4に設定しました。	2018-03-11 22:03:36.000	0	
